filename,path,size_bytes,extension,last_modified,category
20260423_174210.jpg,/storage/emulated/0/DCIM/Camera/20260423_174210.jpg,2780721,jpg,1776962531000,CAMERA
20260423_174204.jpg,/storage/emulated/0/DCIM/Camera/20260423_174204.jpg,2205998,jpg,1776962526000,CAMERA
20260423_174202.jpg,/storage/emulated/0/DCIM/Camera/20260423_174202.jpg,2637263,jpg,1776962523000,CAMERA
20260421_224446.jpg,/storage/emulated/0/DCIM/Camera/20260421_224446.jpg,3911401,jpg,1776807889000,CAMERA
20260420_084529.jpg,/storage/emulated/0/DCIM/Camera/20260420_084529.jpg,2563635,jpg,1776671129000,CAMERA
20260420_084520.jpg,/storage/emulated/0/DCIM/Camera/20260420_084520.jpg,2645501,jpg,1776671122000,CAMERA
20260414_144052.jpg,/storage/emulated/0/DCIM/Camera/20260414_144052.jpg,2249761,jpg,1776174053000,CAMERA
20260414_144044.jpg,/storage/emulated/0/DCIM/Camera/20260414_144044.jpg,2383899,jpg,1776174044000,CAMERA
20260414_144035.jpg,/storage/emulated/0/DCIM/Camera/20260414_144035.jpg,2503878,jpg,1776174036000,CAMERA
20260414_144024.jpg,/storage/emulated/0/DCIM/Camera/20260414_144024.jpg,2163919,jpg,1776174024000,CAMERA
20260414_144017.jpg,/storage/emulated/0/DCIM/Camera/20260414_144017.jpg,2569753,jpg,1776174017000,CAMERA
20260406_124618.jpg,/storage/emulated/0/DCIM/Camera/20260406_124618.jpg,1927854,jpg,1775475981000,CAMERA
20260406_124613.jpg,/storage/emulated/0/DCIM/Camera/20260406_124613.jpg,1983549,jpg,1775475976000,CAMERA
20260330_153920.jpg,/storage/emulated/0/DCIM/Camera/20260330_153920.jpg,2502761,jpg,1774881561000,CAMERA
20260330_153918.jpg,/storage/emulated/0/DCIM/Camera/20260330_153918.jpg,2455416,jpg,1774881558000,CAMERA
20260330_153909.jpg,/storage/emulated/0/DCIM/Camera/20260330_153909.jpg,2671786,jpg,1774881549000,CAMERA
20260330_143814.jpg,/storage/emulated/0/DCIM/Camera/20260330_143814.jpg,2421526,jpg,1774877894000,CAMERA
20260330_143808.jpg,/storage/emulated/0/DCIM/Camera/20260330_143808.jpg,2302525,jpg,1774877888000,CAMERA
